n_order,payment_total,days_since_last_order
3,251.54,1652
2,256.04,1800
2,387.17,1579
2,227.26999999999998,1959
2,218.82,1898
2,219.39000000000001,1639
2,118.91,1924
2,68.86,1683
2,126.45,1745
2,150.61,1545
2,207.56,1700
2,105.25,1753
2,257.58,1966
2,221.93,1790
2,310.81,1818
2,236.67000000000002,1598
2,225.63,1850
2,196.57999999999998,1686
2,384.44,1653
2,267.25,1714
2,193.41,1758
3,281.18,1983
2,284.6,1798
2,82.11,1808
2,150.14,1580
2,142.89000000000001,1780
2,291.67,1702
2,266.15999999999997,1939
2,301.78,2137
2,248.72,1817
2,149.12,1625
2,107.98,1591
2,758.59,1600
2,341.52,1668
2,282.3,1587
2,259.32,1595
2,446.49,1993
2,160.76,1507
2,712.22,1549
7,1122.72,1629
3,263.8,1698
2,361.09000000000003,1877
2,388.4,1672
2,155.37,1701
2,76.93,1801
2,168.06,1736
2,402.74,1817
2,135.17000000000002,1650
2,1247.1299999999999,1890
2,636.14,1955
2,193.68,1805
2,133.35000000000002,1709
2,80.14,1736
2,399.6,1887
2,118.36000000000001,1881
2,170.89999999999998,1934
3,178.65,1674
2,105.99,1862
2,126.4,1574
2,369.72,1728
